"","value"
"538","(1996-06-13)13 June 1996 (aged 24)"
"539","(1996-02-14)14 February 1996 (aged 25)"
"540","(1990-08-12)12 August 1990 (aged 30)"
"541","(1995-07-03)3 July 1995 (aged 25)"
"542","(1994-09-14)14 September 1994 (aged 26)"
"543","(1998-11-12)12 November 1998 (aged 22)"
"544","(1997-08-06)6 August 1997 (aged 23)"
"545","(1986-03-27)27 March 1986 (aged 35)"
"546","(1993-03-03)3 March 1993 (aged 28)"
"547","(1991-09-27)27 September 1991 (aged 29)"
"548","(1994-01-19)19 January 1994 (aged 27)"
"549","(1988-12-16)16 December 1988 (aged 32)"
"550","(1995-02-08)8 February 1995 (aged 26)"
"551","(1999-06-11)11 June 1999 (aged 22)"
"552","(1990-01-04)4 January 1990 (aged 31)"
"553","(1992-07-30)30 July 1992 (aged 28)"
"554","(1995-07-14)14 July 1995 (aged 25)"
"555","(1996-03-06)6 March 1996 (aged 25)"
"556","(1992-03-04)4 March 1992 (aged 29)"
"557","(1992-07-14)14 July 1992 (aged 28)"
"558","(2003-02-26)26 February 2003 (aged 18)"
"559","(1995-09-03)3 September 1995 (aged 25)"
"560","(1996-06-03)3 June 1996 (aged 25)"
"561","(1997-03-16)16 March 1997 (aged 24)"
"562","(1995-02-06)6 February 1995 (aged 26)"
"563","(1996-01-11)11 January 1996 (aged 25)"
"564","(1994-07-05)5 July 1994 (aged 26)"
"565","(1990-10-24)24 October 1990 (aged 30)"
"566","(1990-07-08)8 July 1990 (aged 30)"
"567","(1994-01-12)12 January 1994 (aged 27)"
"568","(1996-07-17)17 July 1996 (aged 24)"
"569","(1989-09-13)13 September 1989 (aged 31)"
"570","(1993-02-28)28 February 1993 (aged 28)"
"571","(1990-05-06)6 May 1990 (aged 31)"
"572","(1993-01-17)17 January 1993 (aged 28)"
"573","(1996-01-04)4 January 1996 (aged 25)"
"574","(1998-01-20)20 January 1998 (aged 23)"
"575","(1990-02-17)17 February 1990 (aged 31)"
"576","(1992-11-03)3 November 1992 (aged 28)"
"577","(1991-01-15)15 January 1991 (aged 30)"
"578","(1995-06-17)17 June 1995 (aged 25)"
"579","(1987-12-09)9 December 1987 (aged 33)"
"580","(1988-01-15)15 January 1988 (aged 33)"
"581","(1994-07-27)27 July 1994 (aged 26)"
"582","(1990-11-16)16 November 1990 (aged 30)"
"583","(1999-04-13)13 April 1999 (aged 22)"
"584","(1988-09-01)1 September 1988 (aged 32)"
"585","(1994-04-08)8 April 1994 (aged 27)"
"586","(1996-03-02)2 March 1996 (aged 25)"
"587","(1990-01-23)23 January 1990 (aged 31)"
"588","(1990-11-30)30 November 1990 (aged 30)"
"589","(1996-03-30)30 March 1996 (aged 25)"
"590","(1997-05-22)22 May 1997 (aged 24)"
"591","(1994-08-25)25 August 1994 (aged 26)"
"592","(1987-09-27)27 September 1987 (aged 33)"
"593","(1987-12-31)31 December 1987 (aged 33)"
"594","(2000-09-27)27 September 2000 (aged 20)"
"595","(1995-03-15)15 March 1995 (aged 26)"
"596","(1999-11-22)22 November 1999 (aged 21)"
"597","(1988-02-15)15 February 1988 (aged 33)"
"598","(1993-11-16)16 November 1993 (aged 27)"
"599","(1983-02-26)26 February 1983 (aged 38)"
"600","(1997-05-14)14 May 1997 (aged 24)"
"601","(1993-12-22)22 December 1993 (aged 27)"
"602","(1983-12-22)22 December 1983 (aged 37)"
"603","(1985-02-05)5 February 1985 (aged 36)"
"604","(1986-09-08)8 September 1986 (aged 34)"
"605","(1995-11-06)6 November 1995 (aged 25)"
"606","(1994-08-10)10 August 1994 (aged 26)"
"607","(1994-09-08)8 September 1994 (aged 26)"
"608","(1990-10-01)1 October 1990 (aged 30)"
"609","(1991-09-09)9 September 1991 (aged 29)"
"610","(1992-04-07)7 April 1992 (aged 29)"
"611","(1993-05-17)17 May 1993 (aged 28)"
"612","(1997-08-18)18 August 1997 (aged 23)"
"613","(1996-11-29)29 November 1996 (aged 24)"
"614","(1997-03-13)13 March 1997 (aged 24)"
"615","(1998-06-28)28 June 1998 (aged 22)"
"616","(1999-03-18)18 March 1999 (aged 22)"
"617","(1996-12-04)4 December 1996 (aged 24)"
"618","(1994-02-07)7 February 1994 (aged 27)"
"619","(1999-11-10)10 November 1999 (aged 21)"
"620","(1992-06-02)2 June 1992 (aged 29)"
"621","(2002-06-19)19 June 2002 (aged 18)"
"622","(1995-07-09)9 July 1995 (aged 25)"
