"","value"
"57","(1996-05-23)23 May 1996 (aged 25)"
"58","(1994-03-09)9 March 1994 (aged 27)"
"59","(1995-03-23)23 March 1995 (aged 26)"
"60","(1997-07-14)14 July 1997 (aged 23)"
"61","(1996-05-21)21 May 1996 (aged 25)"
"62","(1994-03-05)5 March 1994 (aged 27)"
"63","(1994-02-08)8 February 1994 (aged 27)"
"64","(1997-01-29)29 January 1997 (aged 24)"
"65","(1998-04-14)14 April 1998 (aged 23)"
"66","(1995-12-20)20 December 1995 (aged 25)"
"67","(1995-01-08)8 January 1995 (aged 26)"
"68","(2000-03-25)25 March 2000 (aged 21)"
"69","(1997-05-10)10 May 1997 (aged 24)"
"70","(1985-07-15)15 July 1985 (aged 35)"
"71","(2001-05-21)21 May 2001 (aged 20)"
"72","(2000-12-29)29 December 2000 (aged 20)"
"73","(1999-06-25)25 June 1999 (aged 21)"
"74","(1995-07-15)15 July 1995 (aged 25)"
"75","(1994-11-10)10 November 1994 (aged 26)"
"76","(1996-04-05)5 April 1996 (aged 25)"
"77","(1998-10-21)21 October 1998 (aged 22)"
"78","(1999-04-03)3 April 1999 (aged 22)"
"79","(1999-12-08)8 December 1999 (aged 21)"
"80","(1987-01-24)24 January 1987 (aged 34)"
"81","(1989-07-21)21 July 1989 (aged 31)"
"82","(2001-04-13)13 April 2001 (aged 20)"
"83","(1993-04-24)24 April 1993 (aged 28)"
"84","(1994-12-03)3 December 1994 (aged 26)"
"85","(1997-10-22)22 October 1997 (aged 23)"
"86","(1990-03-14)14 March 1990 (aged 31)"
"87","(1997-03-22)22 March 1997 (aged 24)"
"88","(1999-01-12)12 January 1999 (aged 22)"
"89","(1990-12-26)26 December 1990 (aged 30)"
"90","(1989-07-16)16 July 1989 (aged 31)"
"91","(1993-06-22)22 June 1993 (aged 27)"
"92","(1992-08-08)8 August 1992 (aged 28)"
"93","(1995-09-23)23 September 1995 (aged 25)"
"94","(2000-09-14)14 September 2000 (aged 20)"
"95","(1997-01-03)3 January 1997 (aged 24)"
"96","(1999-04-22)22 April 1999 (aged 22)"
"97","(1993-10-09)9 October 1993 (aged 27)"
"98","(1997-07-08)8 July 1997 (aged 23)"
"99","(1997-11-10)10 November 1997 (aged 23)"
"100","(1992-07-17)17 July 1992 (aged 28)"
"101","(1997-11-05)5 November 1997 (aged 23)"
"102","(2000-11-17)17 November 2000 (aged 20)"
"103","(2000-05-30)30 May 2000 (aged 21)"
"104","(2002-04-27)27 April 2002 (aged 19)"
"105","(1999-11-22)22 November 1999 (aged 21)"
"106","(1992-05-11)11 May 1992 (aged 29)"
"107","(1989-03-02)2 March 1989 (aged 32)"
"108","(1985-11-14)14 November 1985 (aged 35)"
"109","(1990-11-28)28 November 1990 (aged 30)"
"110","(1987-04-24)24 April 1987 (aged 34)"
"111","(1989-01-12)12 January 1989 (aged 32)"
